first_week_day,last_week_day,age_group,gender,weekly_tests_num,weekly_cases,weekly_deceased,weekly_first_dose,weekly_second_dose,weekly_third_dose,weekly_fourth_dose,Gender
2020/4/5,2020/4/11,NULL,לא ידוע,128,<15,0,,,,,unknown
2020/4/5,2020/4/11,NULL,נקבה,402,18,0,,,,,female
2020/4/12,2020/4/18,0-19,זכר,4367,369,0,,,,,male
2020/4/12,2020/4/18,0-19,לא ידוע,17,<15,0,,,,,unknown
2020/4/12,2020/4/18,0-19,נקבה,3680,394,0,,,,,female
2020/4/12,2020/4/18,20-24,זכר,3294,160,0,,,,,male
2020/4/12,2020/4/18,20-24,לא ידוע,<15,0,0,,,,,unknown
2020/4/12,2020/4/18,20-24,נקבה,2978,156,0,,,,,female
2020/4/12,2020/4/18,25-29,זכר,2979,98,0,,,,,male
2020/4/12,2020/4/18,25-29,נקבה,2788,100,0,,,,,female
2020/4/12,2020/4/18,25-29,לא ידוע,<15,0,0,,,,,unknown
2020/4/12,2020/4/18,30-34,זכר,2596,70,0,,,,,male
2020/4/12,2020/4/18,30-34,נקבה,2474,79,0,,,,,female
2020/4/12,2020/4/18,30-34,לא ידוע,<15,0,0,,,,,unknown
2020/4/12,2020/4/18,35-39,זכר,2187,64,0,,,,,male
2020/4/12,2020/4/18,35-39,לא ידוע,<15,0,0,,,,,unknown
2020/4/12,2020/4/18,35-39,נקבה,2234,66,0,,,,,female
2020/4/12,2020/4/18,40-44,לא ידוע,<15,0,0,,,,,unknown
2020/4/12,2020/4/18,40-44,נקבה,2269,77,<15,,,,,female
2020/4/12,2020/4/18,40-44,זכר,1980,57,0,,,,,male
2020/4/12,2020/4/18,45-49,לא ידוע,<15,0,0,,,,,unknown
2020/4/12,2020/4/18,45-49,נקבה,2353,95,0,,,,,female
2020/4/12,2020/4/18,45-49,זכר,1888,74,0,,,,,male
2020/4/12,2020/4/18,50-54,זכר,1680,74,0,,,,,male
2020/4/12,2020/4/18,50-54,נקבה,2101,72,0,,,,,female
2020/4/12,2020/4/18,50-54,לא ידוע,<15,0,0,,,,,unknown
2020/4/12,2020/4/18,55-59,זכר,1529,50,0,,,,,male
2020/4/12,2020/4/18,55-59,לא ידוע,0,0,0,,,,,unknown
2020/4/12,2020/4/18,55-59,נקבה,2039,53,0,,,,,female
2020/4/12,2020/4/18,60-64,לא ידוע,<15,0,0,,,,,unknown
2020/4/12,2020/4/18,60-64,זכר,1488,40,<15,,,,,male
2020/4/12,2020/4/18,60-64,נקבה,1743,47,0,,,,,female
2020/4/12,2020/4/18,65-69,נקבה,1313,32,0,,,,,female
2020/4/12,2020/4/18,65-69,זכר,1161,42,<15,,,,,male
2020/4/12,2020/4/18,65-69,לא ידוע,<15,0,0,,,,,unknown
2020/4/12,2020/4/18,70-74,לא ידוע,<15,0,0,,,,,unknown
2020/4/12,2020/4/18,70-74,זכר,1064,27,<15,,,,,male
2020/4/12,2020/4/18,70-74,נקבה,1299,38,<15,,,,,female
2020/4/12,2020/4/18,75-79,זכר,780,19,<15,,,,,male
2020/4/12,2020/4/18,75-79,נקבה,1081,26,<15,,,,,female
2020/4/12,2020/4/18,75-79,לא ידוע,<15,0,0,,,,,unknown
2020/4/12,2020/4/18,80+,זכר,2382,43,18,,,,,male
